source_id,name,url,feed_url,method,items_7d,fulltext_in_feed,robots_ok,stato,checked_at,note
BIH_ELEC_001,Centralna izborna komisija BiH,https://www.izbori.ba/,,,0,,True,NOT_USEFUL,2026-08-27T23:08:12.679174Z,nessun testo estraibile senza JS (probabile SPA)
POL_RS_003,PDP,https://pdp.rs.ba/,,,0,,True,NOT_USEFUL,2026-08-27T23:08:12.679174Z,"html controllato, 0 recenti su 8"
POL_RS_002,SDS,https://www.sdsrs.com/,,,0,,True,NOT_USEFUL,2026-08-27T23:08:12.679174Z,nessun testo estraibile senza JS (probabile SPA)
BL_IJ3_012,Draško Stanivuković,,,,0,,,NOT_USEFUL,2026-08-27T23:08:12.679174Z,nessun website_url nel registry (solo social/persona)
POL_RS_004,Ujedinjena Srpska,https://ujedinjenasrpska.rs/,,,0,,True,NOT_USEFUL,2026-08-27T23:08:12.679174Z,"feed trovato ma 0 item negli ultimi 7g (tot 10); html controllato, 0 recenti su 6"
BL_IJ3_007,BL Portal,https://www.bl-portal.com/,https://www.bl-portal.com/rss,rss,10,True,True,READY_RSS,2026-08-27T23:08:12.679174Z,10 entry totali nel feed
RS_IJ_017,Grad Doboj,https://doboj.gov.ba/,,,0,,True,NOT_USEFUL,2026-08-27T23:08:12.679174Z,"feed trovato ma 0 item negli ultimi 7g (tot 10); html controllato, 0 recenti su 8"
RS_IJ_014,RTV Doboj,https://rtvdoboj.org/,https://rtvdoboj.org/feed/,rss,10,True,True,READY_RSS,2026-08-27T23:08:12.679174Z,10 entry totali nel feed
BL_IJ3_002,Nezavisne novine,https://www.nezavisne.com/,https://www.nezavisne.com/rss/najnovije,rss,20,False,True,READY_RSS,2026-08-27T23:08:12.679174Z,20 entry totali nel feed
RS_IJ_018,InfoBijeljina,https://www.infobijeljina.com/,,html_home_links,6,False,True,READY_HTML,2026-08-27T23:08:12.679174Z,8 articoli controllati dai link homepage
SRC_009,N1 BiH,https://n1info.ba/,https://n1info.ba/feed,rss,50,False,True,READY_RSS,2026-08-27T23:08:12.679174Z,50 entry totali nel feed
BL_IJ3_003,Glas Srpske,https://www.glassrpske.com/,,sitemap+html,3,False,True,READY_HTML,2026-08-27T23:08:12.679174Z,"sitemap https://www.glassrpske.com/sitemap.xml, 4 articoli controllati"
BL_IJ3_011,Grad Banja Luka,https://www.banjaluka.rs.ba/,,,0,,True,NOT_USEFUL,2026-08-27T23:08:12.679174Z,"feed trovato ma 0 item negli ultimi 7g (tot 12); html controllato, 0 recenti su 8"
FBIH_001,Klix.ba,https://www.klix.ba/,https://www.klix.ba/rss,rss,30,False,True,READY_RSS,2026-08-27T23:08:12.679174Z,30 entry totali nel feed
ECO_001,Capital.ba,https://capital.ba/,,wayback_cdx,48,,,READY_WAYBACK,2026-08-28T02:00:00Z,"B2a 2026-08-28: BLOCKED in diretta (403) ma recuperata via Wayback CDX + replay, 48/54 candidati riusciti in 30gg, 6 errori di connessione transitori. Query CDX instabile con filtro data stretto (504/timeout), stabile con from largo + filtro client (vedi pilot/collect.py)."
RS_IJ_013,Dobojski.info,https://www.dobojski.info/,,wayback_cdx,3,,,READY_WAYBACK,2026-08-28T02:00:00Z,"B2a 2026-08-28: MANUAL_ONLY in FIX_01 (nessun sitemap.xml stabile), recuperata via Wayback CDX (3 item in 30gg, 0 errori). Rendimento modesto (solo 5 capture totali nella finestra), ma funzionante."
GDELT_DOC2,GDELT DOC 2.0 API,http://api.gdeltproject.org/api/v2/doc/doc,,B2c verifica,34,,,VERIFICATO_NON_INTEGRATO,2026-08-28T03:00:00Z,"B2c 2026-08-28, ricontrollato in questa sessione: correzione della riga precedente, che descriveva un timeout generico ed era sbagliata. https://api.gdeltproject.org:443 NON apre (timeout/handshake, riconfermato: http_code 000 dopo 15s) ma http://api.gdeltproject.org:80 RISPONDE (200 OK in ~9s dopo un 429 iniziale per rate-limit). Non e' un blocco di rete generico: e' la sola porta 443 di questo host. Il test per-domino (query su domini gia' fra le 18 fonti) misurava la cosa sbagliata; il test giusto e' per paese: query sourcecountry:BK, 34 articoli, 7 domini distinti, 6 NON fra le 18 fonti (avaz.ba, faktor.ba, bosnjaci.net, vecernji.ba, federalna.ba, slobodna-bosna.ba; klix.ba e' l'unico gia' presente). Verdetto del task: guadagno reale ma fuori bersaglio (copre Federazione/Sarajevo/Croazia, non densifica la RS che e' il problema vero). NON integrato in collect.py in questa sessione: da aggiungere come fonte di scoperta a bassa priorita' dopo B1, non ora."
GOOGLE_NEWS_RSS,Google News RSS (scoperta per protagonista),https://news.google.com/rss/search,,B2b verifica,0,,,NON_PASSA,2026-08-28T02:05:00Z,"B2b 2026-08-28: il feed risponde (100 risultati su query test ""Nenad Stevandic""), ma il campo link e' un redirect news.google.com risolvibile solo via JS lato client (pagina shell 580KB, nessun meta-refresh ne' URL statico incorporato) — trafilatura non puo' estrarre il testo senza un browser JS o un endpoint interno non documentato di Google. entry.source.href da' solo il dominio, non l'URL articolo. Non adottato: violerebbe ""no nuove dipendenze/no overengineering""."
