source_id_candidate,name,website_url,canonical_domain,macro_tipo,priority_tier,technical_access,already_active,current_source_id,test_status,fetch_method_found,feed_url,http_status,items_recent,valid_articles,fulltext_ok,date_ok,duplicate_rate_sample,problem,decision,notes
BIH_ELEC_001,Centralna izborna komisija BiH,https://www.izbori.ba/,izbori.ba,IZBORI_ONG_MONITORING,1,0.75,False,,JS_ONLY,none,,200,0,0,False,False,N/A_SINGLE_SOURCE,JS_ONLY,NOT_PROMOTED,nessun testo estraibile senza JS (probabile SPA) e nessun feed/sitemap utile
BIH_ELEC_002,Koalicija Pod lupom,https://podlupom.org/,podlupom.org,IZBORI_ONG_MONITORING,1,0.7,True,BIH_ELEC_002,ALREADY_ACTIVE,,,,,,,,N/A_SINGLE_SOURCE,,ALREADY_ACTIVE,gia' attiva come BIH_ELEC_002
BIH_ELEC_003,Transparency International BiH,https://ti-bih.org/,ti-bih.org,IZBORI_ONG_MONITORING,1,0.75,True,BIH_ELEC_003,ALREADY_ACTIVE,,,,,,,,N/A_SINGLE_SOURCE,,ALREADY_ACTIVE,gia' attiva come BIH_ELEC_003
BIH_ELEC_005,Istinomjer,https://istinomjer.ba/,istinomjer.ba,IZBORI_ONG_MONITORING,2,0.75,False,,READY_SITEMAP,sitemap,,200,2,8,True,True,N/A_SINGLE_SOURCE,,PROMOTED,"sitemap https://istinomjer.ba/sitemap.xml, 8 articoli controllati | Promossa in config/sources.yaml (TASK_SOURCE_EXPANSION_DAILY_PILOT_01, 2026-08-29)."
BIH_ELEC_006,Raskrinkavanje,https://raskrinkavanje.ba/,raskrinkavanje.ba,IZBORI_ONG_MONITORING,2,0.75,False,,NO_ARTICLE_LINKS,none,,200,0,0,False,False,N/A_SINGLE_SOURCE,NO_ARTICLE_LINKS,NOT_PROMOTED,"html controllato, 0 articoli recenti su 8"
BIH_ELEC_004,CCI BiH,https://cci.ba/,cci.ba,IZBORI_ONG_MONITORING,2,0.65,False,,NO_RSS,none,,200,0,0,False,False,N/A_SINGLE_SOURCE,RSS_EMPTY,NOT_PROMOTED,feed trovato ma 0 item negli ultimi 7g
SRC_003,OHR,https://www.ohr.int/,ohr.int,MEDIA_PORTALI,3,0.6,False,,,,,,,,,,N/A_SINGLE_SOURCE,,NOT_TESTED,"NOT_TESTED: tier 3, nessun gap geografico/tematico residuo identificato dopo tier 1+2 — budget di fetch non speso per policy §8/§15."
BIH_ELEC_008,OSCE/ODIHR BiH elections,https://www.osce.org/odihr/elections/bih,osce.org,IZBORI_ONG_MONITORING,3,0.45,False,,,,,,,,,,N/A_SINGLE_SOURCE,,NOT_TESTED,"NOT_TESTED: tier 3, nessun gap geografico/tematico residuo identificato dopo tier 1+2 — budget di fetch non speso per policy §8/§15."
BIH_ELEC_007,BH Novinari,https://bhnovinari.ba/,bhnovinari.ba,IZBORI_ONG_MONITORING,3,0.6,False,,,,,,,,,,N/A_SINGLE_SOURCE,,NOT_TESTED,"NOT_TESTED: tier 3, nessun gap geografico/tematico residuo identificato dopo tier 1+2 — budget di fetch non speso per policy §8/§15."
RS_IJ_001,BN / RTV BN,https://www.rtvbn.com/,rtvbn.com,RS_MEDIA_LOKALNO,1,0.8,True,RS_IJ_001,ALREADY_ACTIVE,,,,,,,,N/A_SINGLE_SOURCE,,ALREADY_ACTIVE,gia' attiva come RS_IJ_001
BL_IJ3_001,Srpskainfo,https://srpskainfo.com/,srpskainfo.com,RS_MEDIA_LOKALNO,1,0.85,True,BL_IJ3_001,ALREADY_ACTIVE,,,,,,,,N/A_SINGLE_SOURCE,,ALREADY_ACTIVE,gia' attiva come BL_IJ3_001
RS_ENT_001,RTRS,https://www.rtrs.tv/,rtrs.tv,RS_MEDIA_LOKALNO,1,0.85,True,RS_ENT_001,ALREADY_ACTIVE,,,,,,,,N/A_SINGLE_SOURCE,,ALREADY_ACTIVE,gia' attiva come RS_ENT_001
