source_id,name,category,source_type,level,region,ij_code,municipalities_focus,website_url,facebook_url,fb_status,instagram_url,ig_status,x_url,x_status,youtube_url,where_to_fish,preferred_ingestion,priority_tier,pilot_score,election_relevance,ij_relevance,banja_luka_relevance,doboj_relevance,credibility,bias_score,social_signal,influence,speed,originality,manipulation_risk,technical_access,data_completeness,notes
BIH_ELEC_001,Centralna izborna komisija BiH,BiH izbori / official,official_election,BiH,BiH,ALL,BiH,https://www.izbori.ba/,https://www.facebook.com/p/Centralna-izborna-komisija-Bosne-i-Hercegovine-100083235705310,confirmed_user,,,https://x.com/IZBORI_BA,confirmed_user,,official website; decisions; certified lists; results; observer materials; Facebook,website/API/manual PDF,1,0.882,1,0.8,0.0,0.0,0.95,0.05,0.35,0.9,0.7,1,0.05,0.75,0.75,"Zvanični izborni organ; izvor za liste, rezultate, odluke i rokove."
BIH_ELEC_002,Koalicija Pod lupom,BiH izbori / monitoring,election_monitoring,BiH,BiH,ALL,BiH,https://podlupom.org/,https://www.facebook.com/koalicijapodlupom,confirmed_user,,,https://x.com/PodLupom,confirmed_user,,website reports; Facebook; press releases,website/RSS/manual PDF,1,0.793,0.95,0.7,0.0,0.0,0.86,0.22,0.45,0.65,0.55,0.9,0.12,0.7,0.75,Posmatranje izbora i izvještaji; važan korektiv za nepravilnosti.
BIH_ELEC_003,Transparency International BiH,ONG / corruption / elections,ngo_monitoring,BiH,BiH,ALL,BiH,https://ti-bih.org/,https://www.facebook.com/tibihorg,confirmed_user,https://www.instagram.com/transparency_bih/,confirmed_user,https://x.com/tibihorg,confirmed_user,,website; reports; Facebook; X; public procurement/corruption posts,website/RSS/social,1,0.78,0.88,0.65,0.0,0.0,0.88,0.3,0.4,0.7,0.55,0.9,0.15,0.75,1.0,"Korupcija, javne nabavke, zloupotrebe javnih resursa; vrlo bitno za izbore."
BIH_ELEC_005,Istinomjer,fact-checking / politics,fact_check,BiH,BiH,ALL,BiH,https://istinomjer.ba/,https://www.facebook.com/istinomjer,confirmed_user,,,https://x.com/Istinomjer,confirmed_user,,website fact-check; Facebook; X,website/RSS/social,2,0.703,0.8,0.45,0.0,0.0,0.84,0.35,0.45,0.55,0.45,0.8,0.2,0.75,0.75,Politička obećanja i provjera izjava.
BIH_ELEC_006,Raskrinkavanje,fact-checking / misinformation,fact_check,BiH,BiH,ALL,BiH,https://raskrinkavanje.ba/,https://www.facebook.com/raskrinkavanje,confirmed_user,,,https://x.com/raskrinkavanje,confirmed_user,,website fact-check; Facebook; X,website/RSS/social,2,0.69,0.75,0.4,0.0,0.0,0.84,0.35,0.45,0.55,0.45,0.8,0.2,0.75,0.75,"Dezinformacije, viralni narativi i manipulacije."
BIH_ELEC_004,CCI BiH,ONG / government monitoring,ngo_monitoring,BiH,BiH,ALL,BiH,https://cci.ba/,https://www.facebook.com/CCIBIH,confirmed_user,,,,,,website; monitoring reports; Facebook,website/manual PDF,2,0.686,0.72,0.55,0.0,0.0,0.84,0.3,0.35,0.55,0.4,0.85,0.15,0.65,0.5,"Monitoring rada vlada, parlamenata i institucija."
SRC_003,OHR,international official,international_official,BiH,BiH,ALL,BiH,https://www.ohr.int/,,not_present_user,,,https://x.com/OHR_BiH,confirmed_user,,website; X; press releases,website/X/manual,3,0.635,0.55,0.25,0.0,0.0,0.85,0.25,0.25,0.7,0.4,0.8,0.1,0.6,0.5,Nema potvrđenu FB stranicu; politički institucionalni signal.
BIH_ELEC_008,OSCE/ODIHR BiH elections,international election observation,international_monitoring,BiH,BiH,ALL,BiH,https://www.osce.org/odihr/elections/bih,,not_found,,,https://x.com/osce_odihr,confirmed_user,,OSCE/ODIHR website; PDF reports,manual PDF,3,0.634,0.82,0.3,0.0,0.0,0.9,0.18,0.2,0.55,0.25,0.85,0.08,0.45,0.5,Nema posebnu BiH FB stranicu; koristiti izvještaje i saopštenja.
BIH_ELEC_007,BH Novinari,media freedom / NGO,ngo_monitoring,BiH,BiH,ALL,BiH,https://bhnovinari.ba/,https://www.facebook.com/BHnovinari,confirmed_user,,,,,,website; Facebook; press releases,website/social,3,0.594,0.55,0.25,0.0,0.0,0.8,0.3,0.35,0.45,0.35,0.75,0.12,0.6,0.5,Sloboda medija i pritisci na novinare.
RS_IJ_001,BN / RTV BN,RS entitet / TV portal,media_tv,RS,Bijeljina/RS-wide,IJ6/ALL,Bijeljina; RS,https://www.rtvbn.com/,https://www.facebook.com/p/BN-Portal-100064626198037,confirmed_user,https://www.instagram.com/bn_televizija/,confirmed_user,https://x.com/rtvbn1,confirmed_user,,website; Facebook; Instagram; X; video,website/social,1,0.848,0.88,0.75,0.45,0.3,0.68,0.8,0.95,0.9,0.82,0.6,0.5,0.8,1.0,Jak opozicioni/kontra-signal; vrlo visok social reach.
