source_id,nome_fonte,tag,categoria_origine,tipo_fonte,livello,regione,ij,focus_ij,website_url,facebook_url,fb_status_originale,fb_status_clean,verifica_gruppo,instagram_url,x_url,dove_controllare_fb,azione_successiva,priority_tier,pilot_score,fb_processing_priority,election_relevance,ij_relevance,banja_luka_relevance,doboj_relevance,credibility,bias_score,social_signal,influence,manipulation_risk,technical_access,data_completeness,note
BIH_ELEC_001,Centralna izborna komisija BiH,izbori,BiH izbori / official,official_election,BiH,BiH,ALL,BiH,https://www.izbori.ba/,https://www.facebook.com/p/Centralna-izborna-komisija-Bosne-i-Hercegovine-100083235705310,✅ TROVATO,TROVATO,VERIFICATA,,https://x.com/IZBORI_BA,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.882,0.689,1,0.8,0.0,0.0,0.95,0.05,0.35,0.9,0.05,0.75,0.75,"Zvanični izborni organ; izvor za liste, rezultate, odluke i rokove."
BIH_ELEC_002,Koalicija Pod lupom,izbori,BiH izbori / monitoring,election_monitoring,BiH,BiH,ALL,BiH,https://podlupom.org/,https://www.facebook.com/koalicijapodlupom,✅ CONFERMATO,CONFERMATO,VERIFICATA,,https://x.com/PodLupom,Facebook page URL from user list,Usare nel pilot; controllo periodico.,1,0.793,0.714,0.95,0.7,0.0,0.0,0.86,0.22,0.45,0.65,0.12,0.7,0.75,Posmatranje izbora i izvještaji; važan korektiv za nepravilnosti.
BIH_ELEC_003,Transparency International BiH,izbori,ONG / corruption / elections,ngo_monitoring,BiH,BiH,ALL,BiH,https://ti-bih.org/,https://www.facebook.com/tibihorg,✅ CONFERMATO,CONFERMATO,VERIFICATA,https://www.instagram.com/transparency_bih/,https://x.com/tibihorg,Facebook page URL from user list,Usare nel pilot; controllo periodico.,1,0.78,0.691,0.88,0.65,0.0,0.0,0.88,0.3,0.4,0.7,0.15,0.75,1.0,"Korupcija, javne nabavke, zloupotrebe javnih resursa; vrlo bitno za izbore."
BIH_ELEC_005,Istinomjer,monitoring/ONG/analitika,fact-checking / politics,fact_check,BiH,BiH,ALL,BiH,https://istinomjer.ba/,https://www.facebook.com/istinomjer,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,https://x.com/Istinomjer,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.703,0.564,0.8,0.45,0.0,0.0,0.84,0.35,0.45,0.55,0.2,0.75,0.75,Politička obećanja i provjera izjava.
BIH_ELEC_006,Raskrinkavanje,monitoring/ONG/analitika,fact-checking / misinformation,fact_check,BiH,BiH,ALL,BiH,https://raskrinkavanje.ba/,https://www.facebook.com/raskrinkavanje,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,https://x.com/raskrinkavanje,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.69,0.558,0.75,0.4,0.0,0.0,0.84,0.35,0.45,0.55,0.2,0.75,0.75,"Dezinformacije, viralni narativi i manipulacije."
BIH_ELEC_004,CCI BiH,monitoring/ONG/analitika,ONG / government monitoring,ngo_monitoring,BiH,BiH,ALL,BiH,https://cci.ba/,https://www.facebook.com/CCIBIH,✅ TROVATO,TROVATO,VERIFICATA,,,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",2,0.686,0.601,0.72,0.55,0.0,0.0,0.84,0.3,0.35,0.55,0.15,0.65,0.5,"Monitoring rada vlada, parlamenata i institucija."
SRC_003,OHR,monitoring/ONG/analitika,international official,international_official,BiH,BiH,ALL,BiH,https://www.ohr.int/,,not_found,NON_TROVATO,NON_TROVATA,,https://x.com/OHR_BiH,Manual Facebook search / official website social links,Cercare manualmente su Facebook e sito ufficiale; se assente segnare come no_fb.,3,0.635,0.393,0.55,0.25,0.0,0.0,0.85,0.25,0.25,0.7,0.1,0.6,0.5,Nema potvrđenu FB stranicu; politički institucionalni signal.
BIH_ELEC_008,OSCE/ODIHR BiH elections,izbori,international election observation,international_monitoring,BiH,BiH,ALL,BiH,https://www.osce.org/odihr/elections/bih,,not_found,NON_TROVATO,NON_TROVATA,,https://x.com/osce_odihr,Manual Facebook search / official website social links,Cercare manualmente su Facebook e sito ufficiale; se assente segnare come no_fb.,3,0.634,0.375,0.82,0.3,0.0,0.0,0.9,0.18,0.2,0.55,0.08,0.45,0.5,Nema posebnu BiH FB stranicu; koristiti izvještaje i saopštenja.
BIH_ELEC_007,BH Novinari,monitoring/ONG/analitika,media freedom / NGO,ngo_monitoring,BiH,BiH,ALL,BiH,https://bhnovinari.ba/,https://www.facebook.com/BHnovinari,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",3,0.594,0.48,0.55,0.25,0.0,0.0,0.8,0.3,0.35,0.45,0.12,0.6,0.5,Sloboda medija i pritisci na novinare.
RS_IJ_001,BN / RTV BN,medij/opšti izvor,RS entitet / TV portal,media_tv,RS,Bijeljina/RS-wide,IJ6/ALL,RS,https://www.rtvbn.com/,https://www.facebook.com/p/BN-Portal-100064626198037,✅ TROVATO,TROVATO,VERIFICATA,https://www.instagram.com/bn_televizija/,https://x.com/rtvbn1,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.848,0.884,0.88,0.75,0.45,0.3,0.68,0.8,0.95,0.9,0.5,0.8,1.0,Jak opozicioni/kontra-signal; vrlo visok social reach.
BL_IJ3_001,Srpskainfo,medij/opšti izvor,RS entitet / portal,media_portal,RS,Banja Luka/RS-wide,IJ3/ALL,RS,https://srpskainfo.com/,https://www.facebook.com/srpskainfocom,✅ TROVATO,TROVATO,VERIFICATA,https://www.instagram.com/srpskainfo/,https://x.com/Srpska_info,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.845,0.848,0.86,0.75,0.85,0.45,0.7,0.55,0.85,0.85,0.45,0.85,1.0,"Brzina, viralnost i dnevni narativ; dobar za detekciju tema."
RS_ENT_001,RTRS,medij/opšti izvor,RS entitet / institutional media,media_public,RS,RS-wide,ALL,RS,https://www.rtrs.tv/,https://www.facebook.com/rtrs.vijesti,✅ TROVATO,TROVATO,VERIFICATA,https://www.instagram.com/rtrsvijesti/,https://x.com/RTRSvijesti,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.832,0.807,0.9,0.8,0.85,0.5,0.7,0.8,0.75,0.85,0.45,0.85,1.0,Institucionalni signal RS; posebno važan za narativ vlasti.
RS_ENT_002,ATV,medij/opšti izvor,RS entitet / TV portal,media_tv,RS,RS-wide,ALL,RS,https://www.atvbl.rs/,https://www.facebook.com/AtvBanjaluka,✅ TROVATO,TROVATO,VERIFICATA,https://www.instagram.com/atvbl/,https://x.com/AtvBanjaluka,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.797,0.826,0.88,0.75,0.8,0.45,0.62,0.85,0.85,0.8,0.55,0.8,1.0,Jak TV/portal signal; provladin narativ.
BL_IJ3_002,Nezavisne novine,medij/opšti izvor,RS entitet / mainstream,media_portal,RS,Banja Luka/BiH,IJ3/ALL,RS,https://www.nezavisne.com/,https://www.facebook.com/NezavisneNovine,✅ TROVATO,TROVATO,VERIFICATA,,https://x.com/NezavisneBL,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.764,0.741,0.78,0.65,0.65,0.35,0.72,0.5,0.65,0.7,0.4,0.85,0.75,Mainstream dnevni izvor; stabilan signal.
BL_IJ3_003,Glas Srpske,medij/opšti izvor,RS entitet / mainstream,media_portal,RS,Banja Luka/RS-wide,IJ3/ALL,RS,https://www.glassrpske.com/,https://www.facebook.com/glassrpske,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,https://x.com/GlasSrpske,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.724,0.626,0.75,0.65,0.6,0.3,0.68,0.65,0.6,0.65,0.45,0.8,0.75,Tradicionalni RS mainstream; institucionalniji ton.
POL_RS_001,SNSD,partija/pokret,RS party / vlast,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS,https://snsd.org/,https://www.facebook.com/snsd.milorad.dodik,✅ TROVATO,TROVATO,VERIFICATA,,https://x.com/SNSDDodik,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.824,0.838,0.95,0.85,0.85,0.8,0.5,1.0,0.85,0.95,0.75,0.65,0.75,Glavni faktor vlasti; pratiti centralno + GO Banja Luka/Doboj.
BL_IJ3_006,Banjaluka24,lokalni/regionalni portal,Banja Luka / IJ3 local FB-heavy,local_portal_fb,RS,Banja Luka,IJ3,Banja Luka / IJ3,https://banjaluka-24.com/,https://www.facebook.com/banjaluka24portal,✅ CONFERMATO,CONFERMATO,VERIFICATA,https://www.instagram.com/banjaluka24portal/,,Facebook page URL from user list,Usare nel pilot; controllo periodico.,1,0.808,0.896,0.82,0.95,1.0,0.15,0.5,0.6,0.95,0.8,0.7,0.75,0.75,Vrlo jak FB engagement; web postoji; X nije prioritet.
BL_IJ3_012,Draško Stanivuković,lokalni/regionalni portal,political actor / mayor,political_actor,RS,Banja Luka,IJ3,Banja Luka / IJ3,,,to_check,TO_CHECK,DA_VERIFICARE,,,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.802,0.746,0.85,0.95,1.0,0.05,0.5,0.95,0.9,0.85,0.75,0.55,0.0,Lični profil gradonačelnika; visoka politička relevantnost za IJ3.
POL_RS_003,PDP,partija/pokret,RS party / opposition,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS,https://pdp.rs.ba/,https://www.facebook.com/pdprsrpska,✅ TROVATO,TROVATO,VERIFICATA,,,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.799,0.827,0.9,0.85,1.0,0.35,0.5,0.95,0.85,0.85,0.7,0.65,0.5,"Vrlo relevantan za Banja Luku/IJ3, gradonačelnik i gradska politika."
BL_IJ3_011,Grad Banja Luka,lokalni/regionalni portal,official local government,official_local,RS,Banja Luka,IJ3,Banja Luka / IJ3,https://www.banjaluka.rs.ba/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/gubanjaluka/,,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.78,0.614,0.7,0.9,1.0,0.05,0.85,0.65,0.55,0.75,0.25,0.65,0.75,Zvanični lokalni izvor; bitan za teme gradske uprave i lokalnih kriza.
BL_IJ3_007,BL Portal,lokalni/regionalni portal,Banja Luka / IJ3 local,local_portal,RS,Banja Luka,IJ3,Banja Luka / IJ3,https://www.bl-portal.com/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/bl_portal/,https://x.com/bl_portal,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.774,0.681,0.78,0.9,0.95,0.1,0.6,0.5,0.75,0.65,0.5,0.85,1.0,Dobar gradski puls; ima vidljive social kanale.
POL_RS_004,Ujedinjena Srpska,partija/pokret,RS party / vlast,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS,https://ujedinjenasrpska.rs/,https://www.facebook.com/najboljezasve,✅ TROVATO,TROVATO,VERIFICATA,,,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.714,0.754,0.82,0.75,0.75,0.55,0.45,0.95,0.75,0.7,0.7,0.6,0.5,Relevantan partner vlasti; pratiti centralno i lokalne odbore.
BL_IJ3_008,Banjaluka.net,lokalni/regionalni portal,Banja Luka / IJ3 local,local_portal,RS,Banja Luka,IJ3,Banja Luka / IJ3,https://banjaluka.net/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/banjalukanet/,https://x.com/BanjalukaNet,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.735,0.628,0.72,0.85,0.9,0.1,0.62,0.45,0.65,0.6,0.45,0.8,1.0,Lokalni gradski izvor; web footer pokazuje social kanale.
BL_IJ3_005,Buka,medij/opšti izvor,analysis / civic portal,analysis_portal,BiH/RS,Banja Luka/BiH,IJ3/ALL,BiH/RS,https://6yka.com/,https://www.facebook.com/BUKA.portal,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,https://www.instagram.com/bukaportal/,https://x.com/Buka_portal,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.734,0.665,0.7,0.6,0.65,0.25,0.72,0.7,0.7,0.65,0.35,0.75,1.0,Građanski/kritički signal; važno za urbane i opozicione narative.
POL_RS_011,Narodni front,partija/pokret,RS party / opposition,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS,https://narodnifront.com/,https://www.facebook.com/NarodniFrontRS,✅ CONFERMATO,CONFERMATO,VERIFICATA,,,Facebook page URL from user list,Usare nel pilot; controllo periodico.,2,0.694,0.775,0.78,0.7,0.8,0.3,0.45,0.95,0.75,0.65,0.7,0.6,0.5,"Relevantan opozicioni faktor, posebno kroz Jelenu Trivić i BL narativ."
BL_IJ3_009,Banjaluka.com,lokalni/regionalni portal,Banja Luka / IJ3 local,local_portal,RS,Banja Luka,IJ3,Banja Luka / IJ3,https://www.banjaluka.com/,https://www.facebook.com/banjaluka.com,✅ CONFERMATO,CONFERMATO,VERIFICATA,,,Facebook page URL from user list,Usare nel pilot; controllo periodico.,2,0.677,0.697,0.65,0.75,0.85,0.1,0.58,0.4,0.55,0.55,0.45,0.75,0.4,Lokalni servisni portal; korisno za gradski signal i prijave čitalaca.
BL_IJ3_010,eTrafika,lokalni/regionalni portal,Banja Luka / civil society media,civil_media,RS/BiH,Banja Luka,IJ3,Banja Luka / IJ3,https://etrafika.net/,https://www.facebook.com/eTrafika.net,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,https://www.instagram.com/etrafika/,https://x.com/eTrafika,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.663,0.563,0.62,0.55,0.65,0.05,0.78,0.5,0.5,0.45,0.25,0.75,1.0,"Društvene teme, ljudska prava, korupcija; manji volumen, dobar signal."
RS_IJ_013,Dobojski.info,lokalni/regionalni portal,IJ5 Doboj focus,local_portal,RS,Doboj,IJ5,Doboj / IJ5,https://www.dobojski.info/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/dobojskiinfo/,,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.81,0.715,0.82,0.95,0.02,1.0,0.62,0.45,0.8,0.7,0.45,0.8,0.75,Jak nezavisni portal u Doboju; naročito bitan za IJ5.
RS_IJ_017,Grad Doboj,lokalni/regionalni portal,official local government,official_local,RS,Doboj,IJ5,Doboj / IJ5,https://doboj.gov.ba/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/grad_doboj/,,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.787,0.617,0.78,0.9,0.0,1.0,0.85,0.65,0.55,0.7,0.25,0.65,0.75,"Zvanični lokalni izvor; bitan za infrastrukturu, budžet, lokalne krize."
POL_RS_002,SDS,partija/pokret,RS party / opposition,party_official,RS,RS-wide,ALL,RS,https://www.sdsrs.com/,https://www.facebook.com/srpskademokratskastranka,✅ TROVATO,TROVATO,VERIFICATA,,,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",1,0.781,0.784,0.9,0.85,0.45,0.8,0.5,0.95,0.75,0.85,0.7,0.65,0.5,Glavni opozicioni faktor; lokalno važan i za Doboj/Teslić/Prijedor.
RS_IJ_012,Glas Regije,medij/opšti izvor,IJ4/IJ5 regional Doboj,regional_portal,RS,Doboj region,IJ4/IJ5,RS,https://glasregije.net/,https://www.facebook.com/glasregije,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.75,0.672,0.82,0.95,0.05,0.95,0.55,0.45,0.7,0.6,0.55,0.75,0.4,Ključan regionalni izvor za dobojsku regiju; pokriva više opština IJ4/IJ5.
RS_IJ_014,RTV Doboj,lokalni/regionalni portal,IJ5 Doboj official/local media,local_tv_radio,RS,Doboj,IJ5,Doboj / IJ5,https://rtvdoboj.org/,https://www.facebook.com/rtvdoboj,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.741,0.651,0.78,0.9,0.02,0.95,0.65,0.5,0.65,0.55,0.4,0.75,0.4,Regionalna zemaljska i online radio/TV kuća; važan tradicionalni izvor.
RS_IJ_015,Granice Doboja,lokalni/regionalni portal,IJ5 Doboj regional,local_portal,RS,Doboj,IJ5,Doboj / IJ5,https://granicedoboja.info/,https://www.facebook.com/GraniceDoboja.info,✅ TROVATO,TROVATO,VERIFICATA,,,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",2,0.642,0.669,0.65,0.8,0.01,0.85,0.5,0.45,0.6,0.45,0.55,0.7,0.4,Dopunski Doboj/regija signal.
RS_IJ_016,Teslić Danas,lokalni/regionalni portal,IJ5 Teslić,local_portal,RS,Teslić,IJ5,Doboj / IJ5,https://teslicdanas.net/,https://www.facebook.com/teslicdanas,✅ TROVATO,TROVATO,VERIFICATA,,,Facebook page URL from user list,"Verificare rapidamente proprietà/attività, poi promuovere a confermato.",2,0.623,0.643,0.65,0.8,0.0,0.7,0.5,0.45,0.55,0.4,0.55,0.65,0.4,Lokalni signal Teslić; bitan za IJ5 balans van Doboja.
